,features,pl/tp,weighted,K/NKvar,acc,clf obj
0,1,pl,True,NKvar,0.7542105263157894,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
1,1,pl,True,K,0.8646675651392632,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
2,1,pl,False,NKvar,0.7542105263157894,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
3,1,pl,False,K,0.8646675651392632,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
4,1,tp,True,NKvar,0.7542105263157894,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
5,1,tp,True,K,0.8646675651392632,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
6,1,tp,False,NKvar,0.7542105263157894,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
7,1,tp,False,K,0.8646675651392632,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
8,2,pl,True,NKvar,0.8919298245614036,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
9,2,pl,True,K,0.941262353998203,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
10,2,pl,False,NKvar,0.8831578947368421,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
11,2,pl,False,K,0.9211141060197664,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
12,2,tp,True,NKvar,0.8864912280701754,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
13,2,tp,True,K,0.9139712488769093,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
14,2,tp,False,NKvar,0.8666666666666667,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
15,2,tp,False,K,0.9076819407008087,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
16,3,pl,True,NKvar,0.8936842105263157,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
17,3,pl,True,K,0.9341194968553459,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
18,3,pl,False,NKvar,0.8810526315789474,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
19,3,pl,False,K,0.924685534591195,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
20,3,tp,True,NKvar,0.8685964912280701,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
21,3,tp,True,K,0.9238319856244385,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
22,3,tp,False,NKvar,0.885438596491228,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
23,3,tp,False,K,0.9143980233602875,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
24,4,pl,True,NKvar,0.9068421052631579,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
25,4,pl,True,K,0.9574123989218328,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
26,4,pl,False,NKvar,0.8845614035087719,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
27,4,pl,False,K,0.9376909254267745,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
28,4,tp,True,NKvar,0.8831578947368421,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
29,4,tp,True,K,0.913544474393531,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
30,4,tp,False,NKvar,0.8817543859649123,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
31,4,tp,False,K,0.9005390835579514,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
32,5,pl,True,NKvar,0.9114035087719299,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
33,5,pl,True,K,0.9637017070979335,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
34,5,pl,False,NKvar,0.8978947368421053,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
35,5,pl,False,K,0.924685534591195,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
36,5,tp,True,NKvar,0.8817543859649123,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
37,5,tp,True,K,0.9292677448337825,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
38,5,tp,False,NKvar,0.885438596491228,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
39,5,tp,False,K,0.913544474393531,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
40,6,pl,True,NKvar,0.9047368421052632,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
41,6,pl,True,K,0.9574123989218328,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
42,6,pl,False,NKvar,0.8824561403508773,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
43,6,pl,False,K,0.9439802336028751,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
44,6,tp,True,NKvar,0.8882456140350877,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
45,6,tp,True,K,0.9206873315363882,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
46,6,tp,False,NKvar,0.87,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
47,6,tp,False,K,0.90411051212938,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
